["E0",""]
["E1",""]
["W0",""]
("E0","mode 1",1,"E0",1,"transmission")
(500, 3)
2.6014054972745491e+14 1.7710154887784760e-01 2.8617464128407210e+02
2.6044094297194388e+14 1.7813591438118856e-01 2.8695073488849255e+02
2.6074133621643288e+14 1.7599696496147371e-01 2.8773985316493992e+02
2.6104172946092184e+14 1.7251138431114593e-01 2.8855426182414010e+02
2.6134212270541081e+14 1.7058936487379284e-01 2.8939272223847030e+02
2.6164251594989981e+14 1.7235053818913978e-01 2.9023798197813306e+02
2.6194290919438878e+14 1.7738429780893505e-01 2.9106827040674835e+02
2.6224330243887775e+14 1.8301284720459482e-01 2.9187411692391333e+02
2.6254369568336675e+14 1.8617918883677778e-01 2.9266262793607802e+02
2.6284408892785572e+14 1.8518708798504818e-01 2.9345042065756775e+02
2.6314448217234469e+14 1.8057912731086986e-01 2.9425498804062403e+02
2.6344487541683369e+14 1.7507102338135530e-01 2.9508632269557478e+02
2.6374526866132266e+14 1.7218027989251003e-01 2.9593842902549022e+02
2.6404566190581162e+14 1.7376771009153127e-01 2.9678916884145889e+02
2.6434605515030062e+14 1.7853147713386772e-01 2.9761655197579745e+02
2.6464644839478956e+14 1.8311333494465770e-01 2.9841553435710864e+02
